iter	Passed	Remaining
0	2	2242
1	3	1672
2	4	1641
3	6	1606
4	7	1495
5	8	1409
6	10	1502
7	11	1484
8	13	1472
9	14	1445
10	15	1430
11	17	1404
12	18	1377
13	19	1372
14	20	1374
15	22	1371
16	23	1359
17	24	1339
18	25	1322
19	26	1320
20	28	1308
21	29	1296
22	30	1289
23	31	1278
24	33	1300
25	34	1297
26	35	1288
27	36	1279
28	38	1274
29	39	1272
30	40	1265
31	41	1255
32	42	1247
33	43	1237
34	44	1237
35	46	1238
36	48	1250
37	49	1241
38	50	1233
39	51	1229
40	52	1227
41	53	1222
42	54	1217
43	56	1218
44	58	1232
45	59	1230
46	60	1224
47	61	1220
48	62	1215
49	63	1210
50	65	1221
51	67	1221
52	68	1216
53	69	1212
54	70	1206
55	71	1205
56	72	1202
57	73	1198
58	75	1196
59	76	1193
60	77	1191
61	78	1186
62	79	1182
63	80	1179
64	81	1176
65	82	1170
66	83	1169
67	85	1166
68	86	1164
69	87	1160
70	88	1159
71	89	1159
72	91	1159
73	92	1163
74	94	1159
75	95	1155
76	96	1154
77	97	1150
78	98	1147
79	99	1145
80	100	1143
81	101	1139
82	102	1137
83	104	1136
84	105	1134
85	106	1131
86	107	1129
87	108	1127
88	110	1126
89	111	1125
90	112	1123
91	113	1120
92	114	1117
93	115	1115
94	117	1121
95	118	1118
96	120	1119
97	121	1117
98	122	1113
99	124	1118
100	125	1116
101	126	1113
102	127	1110
103	128	1107
104	129	1104
105	131	1109
106	132	1108
107	133	1105
108	134	1102
109	135	1099
110	137	1097
111	138	1095
112	139	1092
113	140	1089
114	142	1095
115	143	1092
116	144	1092
117	145	1090
118	146	1087
119	148	1087
120	149	1085
121	150	1084
122	152	1083
123	153	1081
124	154	1080
125	155	1078
126	156	1076
127	157	1074
128	158	1073
129	160	1073
130	161	1071
131	162	1069
132	163	1067
133	164	1065
134	165	1063
135	166	1060
136	168	1058
137	169	1056
138	170	1054
139	171	1054
140	172	1052
141	173	1051
142	174	1048
143	176	1049
144	177	1047
145	178	1046
146	180	1048
147	182	1051
148	183	1048
149	184	1046
150	185	1044
151	186	1042
152	188	1041
153	189	1040
154	190	1038
155	191	1036
156	192	1035
157	194	1034
158	195	1032
159	196	1030
160	197	1028
161	198	1025
162	199	1023
163	200	1020
164	201	1019
165	202	1017
166	204	1019
167	205	1017
168	206	1016
169	207	1014
170	208	1011
171	209	1009
172	210	1007
173	212	1008
174	213	1006
175	214	1005
176	215	1003
177	216	1001
178	217	998
179	218	997
180	220	998
181	221	996
182	222	994
183	223	992
184	224	990
185	226	989
186	227	988
187	228	986
188	230	987
189	231	986
190	232	983
191	233	981
192	234	979
193	235	978
194	236	976
195	237	974
196	238	972
197	239	971
198	240	969
199	241	967
200	243	968
201	244	966
202	245	964
203	246	962
204	247	961
205	248	959
206	249	957
207	251	956
208	252	954
209	253	952
210	254	950
211	255	948
212	257	949
213	258	947
214	259	946
215	260	944
216	261	942
217	262	940
218	263	938
219	265	940
220	266	938
221	267	936
222	268	934
223	269	933
224	270	931
225	271	930
226	272	928
227	273	927
228	274	925
229	276	924
230	277	924
231	278	922
232	279	920
233	281	921
234	282	920
235	283	919
236	285	917
237	286	915
238	287	914
239	288	912
240	289	910
241	290	909
242	291	907
243	292	906
244	293	904
245	295	904
246	296	903
247	297	901
248	298	901
249	299	899
250	300	898
251	302	896
252	302	894
253	303	892
254	305	891
255	306	889
256	307	887
257	308	886
258	309	885
259	310	883
260	311	882
261	312	880
262	314	880
263	315	879
264	316	877
265	317	875
266	318	874
267	320	874
268	321	873
269	322	871
270	323	870
271	324	868
272	325	867
273	327	867
274	329	867
275	330	867
276	331	866
277	332	864
278	334	863
279	335	861
280	336	860
281	337	859
282	338	858
283	339	856
284	340	854
285	342	853
286	343	852
287	344	850
288	345	848
289	346	847
290	347	845
291	348	844
292	349	843
293	350	841
294	351	840
295	352	838
296	353	837
297	354	835
298	355	834
299	357	833
300	358	831
301	359	831
302	360	830
303	361	828
304	363	827
305	364	825
306	365	824
307	366	823
308	367	821
309	369	821
310	370	820
311	371	818
312	372	817
313	373	815
314	374	814
315	375	813
316	376	812
317	377	810
318	379	810
319	380	808
320	381	807
321	382	806
322	384	804
323	384	803
324	385	801
325	387	800
326	388	798
327	389	797
328	390	796
329	391	794
330	392	793
331	393	791
332	394	790
333	396	790
334	397	789
335	398	787
336	399	786
337	400	784
338	401	783
339	402	782
340	404	781
341	405	779
342	406	777
343	407	776
344	408	775
345	409	773
346	410	772
347	411	771
348	412	769
349	413	767
350	414	766
351	416	766
352	417	764
353	418	763
354	419	761
355	420	760
356	421	758
357	422	757
358	423	756
359	424	755
360	425	753
361	426	752
362	428	751
363	429	749
364	430	748
365	431	747
366	432	746
367	433	744
368	434	743
369	435	741
370	436	740
371	437	739
372	438	737
373	439	736
374	441	736
375	443	735
376	444	734
377	445	732
378	446	731
379	447	730
380	448	728
381	449	727
382	450	726
383	451	724
384	452	723
385	453	721
386	454	720
387	456	719
388	457	718
389	458	716
390	459	715
391	460	714
392	461	712
393	462	711
394	463	709
395	464	708
396	465	707
397	466	705
398	467	704
399	468	703
