iter	Logloss
0	0.6744965849
1	0.6566013648
2	0.6399146325
3	0.6230193422
4	0.6081526014
5	0.594764933
6	0.5812154109
7	0.57130447
8	0.5617927111
9	0.552521483
10	0.5417062871
11	0.5338740178
12	0.5249632805
13	0.5179771189
14	0.5112318977
15	0.5042056955
16	0.4977070839
17	0.492694962
18	0.4878760306
19	0.4826400788
20	0.4764005268
21	0.4709293015
22	0.4672230496
23	0.4632364048
24	0.4590548037
25	0.4553842865
26	0.4531019984
27	0.4492447394
28	0.4448590392
29	0.4413559793
30	0.4376486067
31	0.435057798
32	0.4331030326
33	0.4314778229
34	0.4294929597
35	0.4271562329
36	0.4247278071
37	0.4226370919
38	0.4204013175
39	0.4194582609
40	0.4183589244
41	0.4170754541
42	0.415935815
43	0.4148489351
44	0.4137102292
45	0.4117939842
46	0.4106827296
47	0.4097305044
48	0.4088740798
49	0.4070078911
50	0.4062074585
51	0.405297258
52	0.4042316531
53	0.402954621
54	0.4019749842
55	0.4005804217
56	0.3995669258
57	0.3983728407
58	0.3973752433
59	0.3965876556
60	0.3952143443
61	0.3943025017
62	0.3935685477
63	0.3926090274
64	0.3918708841
65	0.3911724384
66	0.390261643
67	0.389629987
68	0.3891313944
69	0.3881266231
70	0.387570304
71	0.3869215417
72	0.386211937
73	0.3856327364
74	0.384980588
75	0.3839936638
76	0.382960097
77	0.382457868
78	0.3819705003
79	0.3812561724
80	0.3806041883
81	0.380211804
82	0.3799008815
83	0.3789023575
84	0.3781564325
85	0.3773278837
86	0.3766730942
87	0.3763743479
88	0.3758602741
89	0.3754327382
90	0.3746121799
91	0.3740537853
92	0.3734216167
93	0.3730368438
94	0.3723059318
95	0.3716795678
96	0.3712912345
97	0.3708064301
98	0.3704731692
99	0.3700948352
100	0.3696217761
101	0.369112207
102	0.3686494777
103	0.368200867
104	0.3677563439
105	0.3673738091
106	0.3669487103
107	0.3666321079
108	0.3662293016
109	0.3658540326
110	0.365570289
111	0.3652534789
112	0.364839941
113	0.3645206048
114	0.3640774092
115	0.3635732176
116	0.3632408671
117	0.3629578888
118	0.3624560886
119	0.3617560029
120	0.3613171134
121	0.3608533347
122	0.3602449959
123	0.3595999219
124	0.3593267061
125	0.3589547573
126	0.3585720773
127	0.3579415497
128	0.3573114373
129	0.3569567097
130	0.356653625
131	0.356358914
132	0.3560744884
133	0.3558394728
134	0.3556036785
135	0.3553130913
136	0.3551236492
137	0.3547355905
138	0.3543412405
139	0.3540268416
140	0.3537218673
141	0.3533728921
142	0.3530996874
143	0.3529039463
144	0.3521731333
145	0.3518930359
146	0.3515562612
147	0.3510945937
148	0.3506217898
149	0.3502801547
150	0.3500326755
151	0.349692371
152	0.3492365392
153	0.348744367
154	0.3483076827
155	0.3479996597
156	0.3476736546
157	0.3473175166
158	0.3467343283
159	0.3464220448
160	0.3459241666
161	0.345583114
162	0.3453588738
163	0.3450256554
164	0.3447055726
165	0.3442669815
166	0.344003963
167	0.3437572177
168	0.3434306982
169	0.3432398814
170	0.3429608006
171	0.3426011226
172	0.3423563469
173	0.3420044455
174	0.3415997475
175	0.3414573262
176	0.34126896
177	0.3410447692
178	0.3407056657
179	0.3402789957
180	0.3400354465
181	0.3396578603
182	0.3393354923
183	0.3388975607
184	0.3386798171
185	0.3382394638
186	0.3380163984
187	0.3377010802
188	0.3374596177
189	0.3370886648
190	0.3365676048
191	0.3362610637
192	0.3359003778
193	0.3355667303
194	0.3352994072
195	0.3348458818
196	0.3345800258
197	0.3342381269
198	0.3338367381
199	0.3336243621
200	0.3332745941
201	0.3329067086
202	0.3326207824
203	0.3321924103
204	0.3319163576
205	0.3314739652
206	0.3311809628
207	0.3308795121
208	0.3306723848
209	0.3303068596
210	0.3299870528
211	0.3297485612
212	0.3294576534
213	0.3292336038
214	0.3288623459
215	0.328515508
216	0.3283160407
217	0.3280252189
218	0.3278363917
219	0.3274645322
220	0.3272096274
221	0.3269222709
222	0.3266376203
223	0.326268972
224	0.326045664
225	0.3257923341
226	0.325483608
227	0.3250697044
228	0.3246269379
229	0.3243887364
230	0.3241543503
231	0.3238448611
232	0.323605744
233	0.3232299426
234	0.3229706605
235	0.3227171513
236	0.322521332
237	0.3221881422
238	0.3219228157
239	0.321622486
240	0.3213087943
241	0.3210692963
242	0.3208711551
243	0.3206532747
244	0.3203250021
245	0.3200291045
246	0.3197316734
247	0.3193358122
248	0.3190694721
249	0.3186910123
250	0.318338382
251	0.3182111531
252	0.3179751838
253	0.3177549988
254	0.317511086
255	0.3173791465
256	0.3170336992
257	0.3167032122
258	0.3165031855
259	0.3162752337
260	0.3158821052
261	0.3156498658
262	0.3153506461
263	0.3150643445
264	0.3147301612
265	0.3143963174
266	0.3140820986
267	0.3138352811
268	0.3134649702
269	0.3131142536
