iter	Passed	Remaining
0	1	347
1	2	347
2	3	347
3	5	341
4	6	341
5	7	341
6	9	346
7	10	345
8	12	349
9	13	347
10	14	346
11	16	348
12	17	349
13	18	346
14	20	344
15	21	343
16	22	341
17	24	349
18	26	347
19	27	346
20	29	346
21	30	344
22	32	343
23	33	343
24	34	341
25	36	339
26	37	337
27	38	334
28	40	333
29	41	332
30	43	332
31	44	331
32	46	331
33	47	331
34	49	329
35	50	328
36	51	326
37	53	324
38	54	323
39	56	323
40	57	321
41	58	319
42	60	320
43	62	318
44	63	317
45	64	315
46	66	314
47	67	311
48	68	310
49	70	308
50	71	306
51	72	305
52	74	303
53	75	301
54	76	300
55	78	298
56	79	298
57	81	297
58	82	295
59	84	294
60	85	293
61	86	291
62	88	290
63	89	288
64	91	287
65	92	286
66	94	285
67	95	284
68	96	282
69	98	280
70	99	279
71	100	277
72	102	277
73	104	275
74	105	274
75	106	272
76	108	272
77	109	270
78	111	269
79	112	268
80	114	266
81	115	265
82	117	263
83	118	261
84	119	260
85	120	258
86	122	257
87	123	255
88	124	253
89	126	252
90	127	251
91	128	249
92	130	247
93	131	246
94	133	245
95	134	243
96	136	243
97	138	242
98	139	240
99	141	240
100	142	239
101	144	237
102	145	235
103	146	234
104	148	232
105	149	231
106	150	229
107	152	228
108	153	226
109	155	225
110	156	224
111	157	222
112	159	221
113	160	219
114	162	219
115	164	217
116	165	216
117	167	215
118	168	213
119	170	213
120	171	211
121	173	210
122	174	208
123	175	207
124	177	205
125	178	204
126	180	202
127	181	201
128	182	199
129	184	198
130	185	196
131	186	195
132	188	193
133	189	192
134	190	190
135	191	189
136	193	187
137	194	186
138	195	184
139	197	183
140	198	181
141	199	180
142	201	178
143	202	177
144	203	175
145	204	174
146	206	172
147	207	171
148	208	169
149	210	168
150	212	167
151	213	165
152	215	164
153	216	163
154	218	161
155	219	160
156	220	159
157	222	157
158	223	156
159	224	154
160	226	153
161	228	152
162	229	150
163	230	149
164	232	147
165	233	146
166	234	144
167	236	143
168	237	142
169	238	140
170	240	139
171	241	137
172	242	136
173	244	134
174	245	133
175	246	131
176	247	130
177	249	128
178	250	127
179	251	125
180	253	124
181	254	122
182	255	121
183	256	120
184	258	118
185	259	117
186	260	115
187	262	114
188	263	112
189	264	111
190	266	110
191	267	108
192	268	107
193	269	105
194	270	104
195	272	102
196	273	101
197	274	99
198	275	98
199	277	97
200	278	95
201	279	94
202	281	92
203	282	91
204	283	89
205	284	88
206	286	87
207	287	85
208	288	84
209	289	82
210	291	81
211	292	80
212	293	78
213	295	77
214	296	75
215	297	74
216	299	73
217	300	71
218	301	70
219	302	68
220	304	67
221	305	66
222	306	64
223	308	63
224	309	61
225	310	60
226	312	59
227	313	57
228	314	56
229	315	54
230	317	53
231	318	52
232	319	50
233	321	49
234	322	48
235	324	46
236	325	45
237	326	43
238	328	42
239	329	41
240	330	39
241	331	38
242	333	37
243	335	35
244	336	34
245	337	32
246	338	31
247	340	30
248	341	28
249	342	27
250	344	26
251	345	24
252	346	23
253	348	21
254	349	20
255	350	19
256	351	17
257	353	16
258	354	15
259	355	13
260	356	12
261	358	10
262	359	9
263	360	8
264	362	6
265	363	5
266	364	4
267	365	2
268	367	1
269	368	0
