iter	Passed	Remaining
0	48	48069
1	92	45977
2	132	43896
3	174	43549
4	216	43160
5	259	43027
6	303	43098
7	345	42888
8	388	42766
9	428	42384
10	469	42175
11	511	42101
12	553	42028
13	597	42100
14	637	41842
15	676	41628
16	718	41533
17	759	41461
18	801	41366
19	842	41266
20	880	41063
21	924	41086
22	964	40957
23	1005	40883
24	1048	40890
25	1089	40801
26	1134	40877
27	1174	40785
28	1214	40681
29	1258	40678
30	1300	40644
31	1345	40703
32	1388	40677
33	1432	40686
34	1476	40699
35	1522	40755
36	1567	40805
37	1609	40747
38	1649	40650
39	1692	40625
40	1736	40617
41	1779	40599
42	1822	40554
43	1865	40527
44	1906	40458
45	1947	40379
46	1987	40295
47	2029	40250
48	2072	40221
49	2113	40155
50	2156	40134
51	2200	40123
52	2243	40086
53	2286	40053
54	2327	39990
55	2370	39962
56	2416	39984
57	2458	39937
58	2501	39904
59	2543	39840
60	2586	39818
61	2628	39765
62	2673	39758
63	2716	39724
64	2758	39673
65	2798	39610
66	2842	39578
67	2882	39511
68	2925	39477
69	2967	39431
70	3011	39405
71	3061	39465
72	3106	39448
73	3147	39389
74	3189	39335
75	3233	39314
76	3277	39290
77	3319	39234
78	3359	39167
79	3400	39104
80	3442	39058
81	3487	39041
82	3528	38984
83	3569	38925
84	3610	38865
85	3653	38828
86	3695	38777
87	3737	38729
88	3780	38692
89	3822	38652
90	3864	38605
91	3907	38563
92	3949	38516
93	3989	38451
94	4033	38425
95	4075	38373
96	4118	38341
97	4159	38286
98	4201	38240
99	4246	38219
100	4288	38175
101	4332	38146
102	4373	38090
103	4416	38046
104	4457	37998
105	4499	37949
106	4541	37899
107	4584	37864
108	4629	37842
109	4673	37812
110	4711	37738
111	4753	37685
112	4794	37634
113	4835	37582
114	4881	37567
115	4923	37521
116	4965	37474
117	5007	37428
118	5052	37404
119	5093	37352
120	5135	37309
121	5180	37284
122	5223	37245
123	5263	37184
124	5302	37119
125	5343	37065
126	5385	37017
127	5428	36981
128	5471	36945
129	5514	36903
130	5558	36875
131	5603	36849
132	5647	36812
133	5691	36779
134	5733	36738
135	5777	36704
136	5820	36667
137	5863	36626
138	5909	36605
139	5952	36567
140	5997	36535
141	6037	36481
142	6077	36420
143	6119	36374
144	6159	36321
145	6201	36274
146	6247	36252
147	6290	36212
148	6331	36163
149	6373	36115
150	6416	36074
151	6457	36028
152	6497	35971
153	6539	35926
154	6578	35863
155	6619	35815
156	6659	35759
157	6701	35714
158	6743	35667
159	6785	35623
160	6830	35597
161	6874	35559
162	6913	35500
163	6957	35466
164	6999	35421
165	7041	35378
166	7082	35328
167	7125	35287
168	7165	35232
169	7204	35175
170	7244	35119
171	7286	35075
172	7327	35027
173	7367	34972
174	7411	34940
175	7453	34894
176	7493	34843
177	7534	34794
178	7578	34757
179	7618	34706
180	7661	34665
181	7698	34599
182	7740	34558
183	7785	34527
184	7830	34496
185	7870	34446
186	7912	34400
187	7952	34348
188	7997	34316
189	8039	34273
190	8083	34237
191	8126	34200
192	8167	34149
193	8211	34116
194	8255	34081
195	8302	34056
196	8344	34011
197	8384	33960
198	8427	33923
199	8470	33883
200	8512	33839
201	8552	33785
202	8593	33740
203	8641	33718
204	8683	33674
205	8728	33643
206	8770	33600
207	8818	33579
208	8860	33534
209	8903	33494
210	8948	33461
211	8990	33419
212	9034	33381
213	9078	33345
214	9120	33300
215	9162	33257
216	9208	33228
217	9251	33187
218	9294	33144
219	9335	33097
220	9375	33048
221	9420	33013
222	9462	32969
223	9509	32941
224	9552	32904
225	9596	32865
226	9641	32832
227	9685	32793
228	9724	32740
229	9768	32701
230	9811	32661
231	9854	32621
232	9896	32576
233	9937	32530
234	9982	32495
235	10023	32449
236	10065	32404
237	10104	32350
238	10146	32307
239	10189	32267
240	10234	32231
241	10277	32192
242	10320	32151
243	10361	32102
244	10405	32067
245	10447	32023
246	10490	31982
247	10532	31937
248	10574	31893
249	10615	31846
250	10655	31796
251	10700	31761
252	10743	31719
253	10788	31686
254	10830	31642
255	10871	31595
256	10913	31551
257	10956	31510
258	10998	31465
259	11043	31430
260	11090	31401
261	11138	31376
262	11181	31333
263	11228	31302
264	11271	31262
265	11314	31220
266	11354	31171
267	11398	31133
268	11438	31083
269	11479	31037
270	11520	30991
271	11565	30954
272	11607	30910
273	11645	30856
274	11688	30815
275	11732	30775
276	11775	30734
277	11817	30691
278	11856	30639
279	11898	30595
280	11938	30547
281	11981	30505
282	12021	30456
283	12066	30419
284	12106	30372
285	12148	30327
286	12184	30270
287	12229	30232
288	12269	30186
289	12313	30147
290	12355	30104
291	12397	30060
292	12443	30025
293	12484	29979
294	12533	29951
295	12573	29905
296	12615	29860
297	12656	29815
298	12697	29769
299	12739	29725
300	12778	29675
301	12819	29629
302	12860	29583
303	12901	29538
304	12941	29490
305	12979	29436
306	13026	29404
307	13073	29372
308	13114	29326
309	13158	29287
310	13198	29240
311	13241	29199
312	13283	29156
313	13326	29113
314	13370	29075
315	13420	29050
316	13505	29099
317	13549	29059
318	13595	29023
319	13637	28979
320	13677	28931
321	13718	28885
322	13763	28846
323	13810	28814
324	13962	28999
325	14071	29093
326	14129	29079
327	14175	29042
328	14227	29017
329	14280	28993
330	14323	28950
331	14367	28908
332	14411	28865
333	14455	28823
334	14498	28780
335	14541	28736
336	14582	28689
337	14624	28644
338	14666	28596
339	14709	28553
340	14754	28513
341	14800	28475
342	14840	28426
343	14880	28375
344	14920	28327
345	14960	28277
346	15004	28235
347	15044	28186
348	15087	28143
349	15130	28099
350	15171	28051
351	15212	28005
352	15252	27956
353	15293	27909
354	15337	27866
355	15377	27817
356	15417	27768
357	15458	27722
358	15502	27679
359	15545	27635
360	15586	27589
361	15630	27547
362	15671	27501
363	15714	27457
364	15757	27412
365	15802	27374
366	15845	27330
367	15888	27287
368	15930	27241
369	15972	27195
370	16015	27153
371	16058	27110
372	16101	27066
373	16144	27022
374	16186	26978
375	16227	26930
376	16271	26888
377	16312	26841
378	16351	26791
379	16395	26750
380	16437	26705
381	16482	26664
382	16523	26618
383	16594	26620
384	16643	26586
385	16724	26603
386	16783	26584
387	16955	26745
388	17010	26717
389	17065	26692
390	17110	26650
391	17154	26606
392	17197	26562
393	17239	26515
394	17278	26464
395	17325	26426
396	17366	26378
397	17412	26337
398	17455	26292
399	17495	26243
400	17536	26194
401	17574	26143
402	17615	26095
403	17656	26048
404	17725	26040
405	17826	26081
406	17902	26084
407	17958	26057
408	18018	26036
409	18075	26011
410	18123	25972
411	18167	25927
412	18210	25882
413	18253	25836
414	18295	25790
415	18339	25745
416	18379	25696
417	18422	25650
418	18464	25603
419	18505	25555
420	18547	25508
