iter	Passed	Remaining
0	1	1925
1	2	1491
2	4	1537
3	6	1675
4	7	1573
5	9	1515
6	10	1460
7	11	1433
8	12	1408
9	13	1368
10	15	1366
11	16	1376
12	17	1357
13	19	1391
14	20	1364
15	21	1339
16	23	1337
17	25	1397
18	26	1375
19	27	1353
20	28	1336
21	29	1322
22	31	1328
23	32	1324
24	33	1309
25	34	1303
26	37	1334
27	38	1322
28	39	1311
29	40	1298
30	42	1316
31	43	1304
32	44	1298
33	45	1298
34	46	1292
35	48	1290
36	49	1286
37	51	1292
38	52	1298
39	54	1301
40	55	1296
41	56	1288
42	57	1280
43	58	1274
44	59	1267
45	60	1260
46	62	1265
47	63	1259
48	64	1253
49	65	1247
50	66	1242
51	67	1235
52	69	1237
53	70	1233
54	71	1229
55	72	1227
56	73	1222
57	74	1218
58	75	1211
59	77	1207
60	78	1202
61	79	1197
62	80	1193
63	81	1190
64	82	1192
65	84	1191
66	85	1187
67	86	1183
68	87	1186
69	89	1183
70	90	1180
71	91	1175
72	92	1172
73	93	1170
74	94	1166
75	95	1162
76	96	1159
77	97	1155
78	98	1151
79	99	1147
80	101	1149
81	102	1146
82	103	1145
83	105	1146
84	106	1143
85	107	1140
86	108	1140
87	109	1139
88	111	1137
89	113	1145
90	114	1142
91	115	1138
92	116	1135
93	117	1132
94	118	1131
95	120	1134
96	121	1134
97	122	1131
98	124	1129
99	125	1126
100	126	1124
101	127	1121
102	128	1118
103	129	1115
104	130	1112
105	131	1111
106	132	1109
107	134	1107
108	135	1105
109	136	1102
110	137	1100
111	138	1097
112	139	1096
113	140	1094
114	141	1091
115	143	1090
116	144	1088
117	145	1087
118	146	1085
119	148	1086
120	149	1085
121	150	1083
122	151	1081
123	152	1080
124	154	1079
125	155	1078
126	156	1075
127	157	1073
128	158	1073
129	160	1072
130	161	1074
131	163	1073
132	164	1072
133	165	1071
134	166	1069
135	168	1071
136	169	1070
137	171	1068
138	172	1066
139	173	1064
140	174	1062
141	175	1060
142	176	1057
143	177	1055
144	178	1053
145	179	1051
146	181	1051
147	182	1050
148	183	1049
149	185	1049
150	186	1049
151	187	1047
152	188	1046
153	190	1045
154	191	1046
155	193	1045
156	194	1042
157	195	1040
158	196	1037
159	197	1035
160	198	1033
161	199	1031
162	200	1028
163	201	1026
164	202	1024
165	203	1022
166	205	1024
167	206	1022
168	207	1020
169	208	1018
170	209	1016
171	210	1014
172	212	1013
173	213	1012
174	214	1009
175	215	1008
176	216	1006
177	217	1004
178	218	1002
179	219	1000
180	220	998
181	221	996
182	222	994
183	223	992
184	225	993
185	226	991
186	227	989
187	228	987
188	229	985
189	230	983
190	231	981
191	232	979
192	234	980
193	235	979
194	236	977
195	237	974
196	238	972
197	239	971
198	240	969
199	241	967
200	242	964
201	243	963
202	245	962
203	246	960
204	247	958
205	248	956
206	249	954
207	250	952
208	251	950
209	252	949
210	253	947
211	254	945
212	255	944
213	256	942
214	258	943
215	259	942
216	260	940
217	261	938
218	262	936
219	263	934
220	264	933
221	265	931
222	266	929
223	267	927
224	268	925
225	269	923
226	270	921
227	271	920
228	272	918
229	273	917
230	276	918
231	277	917
232	278	915
233	279	914
234	280	913
235	281	911
236	282	910
237	283	908
238	284	907
239	285	905
240	287	903
241	288	902
242	289	900
243	290	898
244	291	897
245	292	897
246	294	896
247	294	894
248	296	893
249	297	891
250	298	889
251	299	890
252	300	888
253	302	887
254	303	885
255	304	883
256	305	881
257	306	880
258	307	878
259	308	877
260	309	875
261	310	874
262	311	872
263	312	870
264	313	869
265	314	867
266	315	865
267	316	864
268	317	863
269	318	861
270	320	861
271	322	862
272	323	860
273	324	859
274	326	860
275	327	858
276	328	857
277	329	855
278	330	854
279	332	854
280	334	854
281	335	853
282	336	851
283	337	849
284	338	848
285	339	846
286	340	845
287	341	843
288	342	842
289	343	840
290	344	839
291	345	837
292	346	836
293	347	834
294	348	833
295	349	831
296	350	830
297	352	829
298	354	830
299	355	828
300	356	826
301	357	825
302	358	824
303	359	823
304	360	822
305	361	820
306	362	819
307	363	817
308	364	816
309	365	814
310	366	813
311	368	813
312	369	811
313	370	810
314	371	808
315	372	807
316	373	805
317	374	803
318	375	802
319	376	800
320	378	799
321	379	798
322	380	796
323	381	795
324	382	795
325	384	794
326	385	792
327	386	791
328	387	789
329	388	788
330	389	786
331	390	785
332	391	783
333	392	782
334	393	781
335	394	780
336	395	778
337	396	777
338	397	775
339	399	774
340	400	773
341	401	772
342	402	770
343	403	769
344	404	767
345	405	766
346	406	764
347	407	763
348	410	765
349	411	764
350	412	762
351	413	761
352	414	760
353	415	758
354	416	757
355	417	755
356	418	754
357	420	753
358	421	752
359	422	751
360	423	749
361	424	748
362	425	746
363	426	745
364	427	743
365	428	742
366	429	740
367	430	739
368	431	738
369	432	736
370	433	735
371	434	733
372	435	732
373	436	730
374	437	729
375	438	728
376	439	726
377	440	725
378	441	724
379	442	722
380	444	721
381	445	719
382	446	718
383	447	717
384	448	716
385	449	714
386	450	713
387	451	712
388	452	711
389	453	709
390	454	708
391	455	706
392	456	705
393	457	704
394	458	702
395	459	701
396	460	699
397	461	698
398	462	697
399	463	695
400	464	694
401	465	693
402	466	691
403	467	690
404	468	688
405	469	687
406	470	686
407	471	684
408	472	683
409	473	682
410	474	680
411	475	679
412	476	677
413	477	676
414	478	675
415	479	673
416	481	672
417	482	671
418	483	669
419	484	668
420	485	667
421	486	665
422	487	664
423	488	663
424	489	662
425	490	660
426	491	659
427	492	658
428	493	656
429	494	655
430	495	653
431	496	652
432	497	651
433	498	649
434	499	648
435	500	647
436	501	646
437	502	645
438	503	643
439	504	642
440	505	640
441	506	639
442	507	638
443	508	637
444	509	635
445	510	634
446	511	633
447	512	631
448	513	630
449	514	629
450	516	628
451	517	627
452	518	625
453	519	624
454	520	623
455	521	621
456	522	620
457	523	619
458	524	618
459	525	617
460	526	615
461	527	614
462	528	613
463	529	611
464	530	610
465	531	609
466	532	608
467	533	606
468	534	605
469	535	604
