iter	Passed	Remaining
0	5	5213
1	7	3713
2	10	3631
3	13	3288
4	15	3053
5	18	2986
6	20	2921
7	22	2832
8	25	2758
9	28	2788
10	30	2731
11	32	2700
12	35	2720
13	37	2674
14	39	2623
15	42	2598
16	44	2572
17	46	2543
18	49	2556
19	52	2580
20	54	2550
21	56	2520
22	59	2511
23	61	2494
24	63	2467
25	65	2449
26	67	2440
27	70	2430
28	72	2416
29	74	2417
30	77	2420
31	79	2402
32	81	2387
33	83	2380
34	85	2369
35	88	2364
36	90	2349
37	92	2336
38	94	2329
39	97	2344
40	100	2348
41	102	2337
42	104	2326
43	106	2313
44	109	2324
45	111	2315
46	114	2312
47	116	2307
48	118	2302
49	121	2313
50	124	2311
51	126	2311
52	129	2313
53	131	2305
54	134	2309
55	136	2302
56	138	2294
57	141	2298
58	143	2288
59	145	2282
60	147	2275
61	150	2270
62	152	2262
63	154	2260
64	157	2259
65	159	2254
66	161	2252
67	163	2245
68	166	2253
69	169	2249
70	171	2241
71	173	2241
72	176	2235
73	178	2227
74	181	2244
75	184	2239
76	186	2232
77	188	2230
78	190	2224
79	192	2215
80	194	2209
81	196	2203
82	198	2198
83	200	2190
84	202	2182
85	204	2173
86	207	2176
87	209	2168
88	211	2163
89	213	2158
90	215	2154
91	217	2148
92	219	2144
93	222	2139
94	224	2136
95	226	2131
96	228	2126
97	230	2122
98	232	2119
99	235	2116
100	237	2112
101	239	2110
102	241	2106
103	244	2104
104	246	2100
105	249	2103
106	251	2101
107	253	2097
108	256	2095
109	258	2091
