iter	Logloss
0	0.6746243032
1	0.6617062059
2	0.6495124045
3	0.6381503078
4	0.6241929926
5	0.6133015175
6	0.6034041758
7	0.5934201247
8	0.5842918476
9	0.578179741
10	0.5676478595
11	0.5642673494
12	0.5587392889
13	0.5512266852
14	0.5430107832
15	0.5378326426
16	0.5284986938
17	0.5257782643
18	0.5185703364
19	0.511183543
20	0.5072749478
21	0.5003126231
22	0.4941646599
23	0.4890191443
24	0.4827641565
25	0.4794631394
26	0.4743926034
27	0.4691542325
28	0.4646880107
29	0.4594783204
30	0.4548407412
31	0.4483317579
32	0.4445696902
33	0.4418669825
34	0.4376159175
35	0.4307828318
36	0.4268643992
37	0.4199137746
38	0.4168385496
39	0.4142380463
40	0.4111552595
41	0.4075855359
42	0.4037115315
43	0.4000667847
44	0.3946378147
45	0.3901109994
46	0.3851765533
47	0.3835206479
48	0.3812162297
49	0.3786356096
50	0.3748711428
51	0.3724885769
52	0.368581445
53	0.3666347175
54	0.363554066
55	0.3598519836
56	0.3558596657
57	0.3523865146
