iter	Passed	Remaining
0	4	4983
1	7	3764
2	9	3227
3	12	2999
4	15	3105
5	18	3099
6	21	2980
7	23	2919
8	25	2826
9	28	2788
10	30	2739
11	32	2693
12	34	2653
13	37	2650
14	39	2600
15	41	2568
16	43	2535
17	46	2544
18	48	2512
19	50	2482
20	53	2476
21	55	2452
22	57	2447
23	60	2442
24	62	2432
25	65	2436
26	67	2427
27	70	2437
28	84	2815
29	86	2802
30	88	2778
31	91	2757
32	94	2769
33	96	2751
34	99	2736
35	101	2719
36	103	2702
37	106	2685
38	108	2669
39	110	2655
40	113	2647
41	115	2630
42	117	2616
43	120	2614
44	122	2602
45	125	2607
46	128	2612
47	131	2602
48	133	2596
49	136	2588
50	139	2596
51	142	2597
52	145	2597
53	147	2589
54	150	2583
55	152	2573
56	154	2561
57	157	2551
